v,p,t,w,a,h,cruise
219.50694,16.73538,-13.71115,39035.90234,2.0715,15481.8291,1
218.80312,16.73537,-13.71118,39035.60938,2.10535,15481.84473,1
218.10252,16.73536,-13.71121,39035.3125,2.13981,15481.85938,1
217.52287,16.73536,-13.71123,39035.01562,2.18065,15481.6123,1
216.78026,16.73555,-13.71068,39034.71875,2.21186,15481.58984,1
216.66803,16.73555,-13.71067,39034.57422,2.21878,15481.58789,1
216.18416,16.73554,-13.71068,39034.42969,2.23937,15481.5918,1
215.48686,16.73553,-13.71072,39034.12891,2.27418,15481.6123,1
214.79845,16.73551,-13.71079,39033.83594,2.30821,15481.64746,1
214.11185,16.73548,-13.71087,39033.53906,2.34318,15481.6875,1
213.37903,16.73545,-13.71094,39033.25391,2.3853,15481.72461,1
212.39145,16.73545,-13.71097,39033.03125,2.43176,15481.7373,1
211.38832,16.73554,-13.7107,39032.82031,2.49128,15481.59668,1
210.39175,16.73577,-13.71002,39032.60547,2.55956,15481.25391,1
209.40573,16.73611,-13.70903,39032.39844,2.63007,15480.75195,1
208.42326,16.73651,-13.70788,39032.19141,2.69916,15480.16602,1
207.44241,16.73691,-13.70668,39031.98047,2.76578,15479.56543,1
206.45946,16.7373,-13.70557,39031.77344,2.82919,15479,1
205.4734,16.73764,-13.70457,39031.5625,2.89028,15478.49805,1
204.48302,16.73793,-13.70372,39031.35547,2.95052,15478.06836,1
203.49373,16.73817,-13.70302,39031.14844,3.00958,15477.71289,1
202.50266,16.73837,-13.70243,39030.9375,3.06936,15477.41797,1
201.50969,16.73854,-13.70194,39030.72656,3.12994,15477.16992,1
200.51891,16.73868,-13.70151,39030.51953,3.19161,15476.9541,1
199.52719,16.73882,-13.70112,39030.3125,3.25496,15476.75684,1
198.53926,16.73895,-13.70075,39030.10156,3.31974,15476.56738,1
197.55255,16.73907,-13.70039,39029.89453,3.38603,15476.38379,1
196.56544,16.7392,-13.70002,39029.69141,3.45348,15476.20117,1
195.57945,16.73932,-13.69966,39029.48047,3.52248,15476.01465,0
194.59398,16.73945,-13.69928,39029.27344,3.59259,15475.82617,0
193.60797,16.73958,-13.6989,39029.0625,3.66452,15475.63184,0
192.62514,16.73972,-13.6985,39028.85547,3.73736,15475.43359,0
191.64293,16.73985,-13.69811,39028.64844,3.8115,15475.2334,0
190.66177,16.73998,-13.69772,39028.44141,3.88624,15475.03418,0
189.68034,16.74012,-13.69732,39028.22656,3.96209,15474.83789,0
188.69908,16.74025,-13.69694,39028.01953,4.03904,15474.64355,0
187.71846,16.74038,-13.69656,39027.8125,4.11697,15474.45312,0
186.73366,16.74051,-13.69619,39027.60547,4.19634,15474.26367,0
185.75206,16.74063,-13.69582,39027.39844,4.27677,15474.07715,0
184.76936,16.74076,-13.69545,39027.1875,4.35872,15473.88965,0
