,vind_kias,prs_inHG,tmp_degC,alt_ftmsl,curr_w, 
:2020-02-08 133419800-0500:,55.77841,30.09289,24.02364,867.04443,2718.00464, 
:2020-02-08 133420000-0500:,56.26363,30.09293,24.02371,867.00543,2717.9873, 
:2020-02-08 133420200-0500:,56.7447,30.09297,24.0238,866.96338,2717.9873, 
:2020-02-08 133420400-0500:,57.22173,30.09302,24.02389,866.91431,2717.9873, 
:2020-02-08 133420600-0500:,57.69481,30.09307,24.02398,866.86835,2717.9873, 
:2020-02-08 133420800-0500:,58.16404,30.09312,24.02408,866.82104,2717.9873, 
:2020-02-08 133421000-0500:,58.62952,30.09316,24.02417,866.77283,2717.97021, 
:2020-02-08 133421200-0500:,59.09361,30.0932,24.02425,866.73608,2717.97021, 
:2020-02-08 133421400-0500:,59.55183,30.09324,24.02432,866.70245,2717.97021, 
:2020-02-08 133421600-0500:,60.0088,30.09326,24.02437,866.67389,2717.97021, 
:2020-02-08 133421800-0500:,60.46007,30.09329,24.02442,866.65265,2717.97021, 
:2020-02-08 133422000-0500:,60.908,30.09331,24.02446,866.63013,2717.95288, 
:2020-02-08 133422200-0500:,61.35266,30.09333,24.02451,866.60614,2717.95288, 
:2020-02-08 133422400-0500:,61.7985,30.09336,24.02457,866.57306,2717.95288, 
:2020-02-08 133422600-0500:,62.24549,30.09341,24.02466,866.52551,2717.95288, 
:2020-02-08 133422800-0500:,62.69361,30.09347,24.02477,866.47015,2717.95288, 
:2020-02-08 133423000-0500:,63.1407,30.09354,24.02491,866.40045,2717.93555, 
:2020-02-08 133423200-0500:,63.58676,30.09361,24.02504,866.33417,2717.93555, 
:2020-02-08 133423400-0500:,64.02126,30.09366,24.02515,866.27771,2717.93555, 
:2020-02-08 133423600-0500:,64.44864,30.09371,24.02524,866.23206,2717.93555, 
:2020-02-08 133423800-0500:,64.86904,30.09374,24.02532,866.1969,2717.93555, 
:2020-02-08 133424000-0500:,65.2888,30.09376,24.02535,866.1806,2717.91846, 
:2020-02-08 133424200-0500:,65.70382,30.09377,24.02535,866.18262,2717.91846, 
:2020-02-08 133424400-0500:,66.12033,30.09375,24.02533,866.1944,2717.91846, 
:2020-02-08 133424600-0500:,66.53017,30.09373,24.02529,866.21252,2717.91846, 
:2020-02-08 133424800-0500:,66.94154,30.09372,24.02526,866.22968,2717.91846, 
:2020-02-08 133425000-0500:,67.35239,30.09371,24.02526,866.22906,2717.90112, 
:2020-02-08 133425200-0500:,67.75877,30.09373,24.02529,866.2088,2717.90112, 
:2020-02-08 133425400-0500:,68.16272,30.09377,24.02537,866.16858,2717.90112, 
:2020-02-08 133425600-0500:,68.56627,30.09383,24.02549,866.10669,2717.90112, 
