,vind_kias,prs_inHG,tmp_degC,alt_ftmsl,curr_w, 
:2020-02-08 133425800-0500:,68.07735,30.09365,24.02512,866.29242,2719.20972, 
:2020-02-08 133426000-0500:,68.45572,30.09371,24.02525,866.22882,2719.20972, 
:2020-02-08 133426200-0500:,68.83398,30.09379,24.0254,866.14777,2719.20972, 
:2020-02-08 133426400-0500:,69.22775,30.09388,24.02557,866.06244,2719.20972, 
:2020-02-08 133426600-0500:,69.62124,30.09393,24.02568,866.01117,2719.20972, 
:2020-02-08 133426800-0500:,70.00671,30.09397,24.02575,865.97571,2719.19189, 
:2020-02-08 133427000-0500:,70.37087,30.09398,24.02578,865.96832,2719.19189, 
:2020-02-08 133427200-0500:,70.70255,30.09395,24.02572,866.00146,2719.19189, 
:2020-02-08 133427400-0500:,,,,,,
:2020-02-08 133427600-0500:,,,,,,
:2020-02-08 133427800-0500:,,,,,,
:2020-02-08 133428000-0500:,,,,,,
:2020-02-08 133428200-0500:,,,,,,
:2020-02-08 133428400-0500:,,,,,,
:2020-02-08 133428600-0500:,,,,,,
:2020-02-08 133428800-0500:,,,,,,
:2020-02-08 133429000-0500:,,,,,,
:2020-02-08 133429200-0500:,,,,,,
:2020-02-08 133429400-0500:,,,,,,
:2020-02-08 133429600-0500:,,,,,,
:2020-02-08 133429800-0500:,,,,,,
:2020-02-08 133430000-0500:,,,,,,
:2020-02-08 133430200-0500:,,,,,,
:2020-02-08 133430400-0500:,,,,,,
:2020-02-08 133430600-0500:,,,,,,
:2020-02-08 133430800-0500:,,,,,,
:2020-02-08 133431000-0500:,,,,,,
:2020-02-08 133431200-0500:,,,,,,
:2020-02-08 133431400-0500:,,,,,,
:2020-02-08 133431600-0500:,,,,,,
:2020-02-08 133431800-0500:,,,,,,
:2020-02-08 133432000-0500:,,,,,,
:2020-02-08 133432200-0500:,,,,,,
:2020-02-08 133432400-0500:,,,,,,
:2020-02-08 133432600-0500:,,,,,,
:2020-02-08 133432800-0500:,,,,,,
:2020-02-08 133433000-0500:,,,,,,
:2020-02-08 133433200-0500:,,,,,,
:2020-02-08 133433400-0500:,,,,,,
:2020-02-08 133433600-0500:,,,,,,
:2020-02-08 133433800-0500:,,,,,,
:2020-02-08 133434000-0500:,,,,,,
:2020-02-08 133434200-0500:,,,,,,
:2020-02-08 133434400-0500:,,,,,,
:2020-02-08 133434600-0500:,,,,,,
:2020-02-08 133434800-0500:,,,,,,
:2020-02-08 133435000-0500:,,,,,,
:2020-02-08 133435200-0500:,,,,,,
:2020-02-08 133435400-0500:,,,,,,
:2020-02-08 133435600-0500:,,,,,,
:2020-02-08 133435800-0500:,,,,,,
:2020-02-08 133436000-0500:,,,,,,
:2020-02-08 133436200-0500:,,,,,,
:2020-02-08 133436400-0500:,,,,,,
:2020-02-08 133436600-0500:,,,,,,
:2020-02-08 133436800-0500:,,,,,,
:2020-02-08 133437000-0500:,,,,,,
:2020-02-08 133437200-0500:,,,,,,
:2020-02-08 133437400-0500:,,,,,,
:2020-02-08 133437600-0500:,,,,,,
:2020-02-08 133437800-0500:,,,,,,
:2020-02-08 133438000-0500:,,,,,,
:2020-02-08 133438200-0500:,,,,,,
:2020-02-08 133438400-0500:,,,,,,
:2020-02-08 133438600-0500:,,,,,,
:2020-02-08 133438800-0500:,,,,,,
:2020-02-08 133439000-0500:,,,,,,
:2020-02-08 133439200-0500:,,,,,,
:2020-02-08 133439400-0500:,,,,,,
:2020-02-08 133439600-0500:,,,,,,
