#v_a,w,h
:2005-08-06 131700000-0400:184.12,18887.34,22984.13
:2005-08-06 131710000-0400:184.43,18887.34,22984.13
:2005-08-06 131720000-0400:184.43,18884.02,22984.13
:2005-08-06 131730000-0400:184.21,18884.02,22992.01
:2005-08-06 131740000-0400:184.21,18879.46,22992.01
:2005-08-06 131750000-0400:184.21,18879.46,23027.86
:2005-08-06 131800000-0400:184.45,18878.01,23027.86
:2005-08-06 131810000-0400:184.45,18876.45,23014.76
:2005-08-06 131820000-0400:184.31,18876.45,23014.76
:2005-08-06 131830000-0400:184.31,18872.61,23014.76
:2005-08-06 131840000-0400:183.03,18872.61,22987.69
:2005-08-06 131850000-0400:183.03,18870.64,22987.69
:2005-08-06 131900000-0400:183.03,18868.88,22988.58
:2005-08-06 131910000-0400:182.2,18868.88,22988.58
:2005-08-06 131920000-0400:182.2,18865.35,22988.58
:2005-08-06 131930000-0400:182.44,18865.35,22989.47
:2005-08-06 131940000-0400:182.44,18862.03,22989.47
:2005-08-06 131950000-0400:182.67,18862.03,22990.36
:2005-08-06 132000000-0400:182.67,18860.06,22990.36
:2005-08-06 132010000-0400:179.49,18858.3,22991.25
:2005-08-06 132020000-0400:179.49,18858.3,22991.25
:2005-08-06 132030000-0400:173.28,18857.26,22991.25
:2005-08-06 132040000-0400:166.25,18857.26,22992.14
:2005-08-06 132050000-0400:160.49,18857.26,22992.14
:2005-08-06 132100000-0400:160.49,18856.54,22804.27
:2005-08-06 132110000-0400:165.07,18856.54,22804.27
:2005-08-06 132120000-0400:165.07,18855.19,22238.81
:2005-08-06 132130000-0400:171.84,18855.19,22238.81
:2005-08-06 132140000-0400:176.63,18852.18,21702.63
:2005-08-06 132150000-0400:176.63,18852.18,21702.63
:2005-08-06 132200000-0400:176.63,18852.18,21166.46
:2005-08-06 132210000-0400:173.08,18852.18,21166.46
:2005-08-06 132220000-0400:172,18852.18,20569
:2005-08-06 132230000-0400:179.46,18852.49,19770.08
:2005-08-06 132240000-0400:185.63,18852.49,19315.87
:2005-08-06 132250000-0400:185.63,18852.49,19315.87
:2005-08-06 132300000-0400:183.66,18852.49,18938.91
:2005-08-06 132310000-0400:183.66,18852.49,18526.19
:2005-08-06 132320000-0400:177.34,18852.49,18111.62
:2005-08-06 132330000-0400:176.37,18852.49,18111.62
:2005-08-06 132340000-0400:176.37,18852.49,17539.89
:2005-08-06 132350000-0400:174.1,18852.49,17539.89
:2005-08-06 132400000-0400:174.1,18852.49,16922.54
:2005-08-06 132410000-0400:168.96,18852.49,16407.78
:2005-08-06 132420000-0400:168.96,18852.49,16407.78
:2005-08-06 132430000-0400:168.5,18852.49,15918.8
:2005-08-06 132440000-0400:161.6,18852.49,15918.8
:2005-08-06 132450000-0400:154.76,18852.49,15500.22
:2005-08-06 132500000-0400:148.78,18852.49,15500.22
:2005-08-06 132510000-0400:144.9,18852.49,15088.64
:2005-08-06 132520000-0400:144.9,18852.49,15088.64
:2005-08-06 132530000-0400:143.18,18852.49,14598.39
:2005-08-06 132540000-0400:143.18,18851.24,14598.39
:2005-08-06 132550000-0400:146.82,18851.24,14069.36
:2005-08-06 132600000-0400:146.82,18851.24,14069.36
:2005-08-06 132610000-0400:146.82,18851.24,13558.35
:2005-08-06 132620000-0400:146.35,18851.24,13558.35
:2005-08-06 132630000-0400:146.35,18851.24,13055.74
:2005-08-06 132640000-0400:145.55,18851.24,13055.74
:2005-08-06 132650000-0400:145.55,18851.24,12603.38
:2005-08-06 132700000-0400:151.23,18851.24,12603.38
:2005-08-06 132710000-0400:151.23,18851.24,12040.71
:2005-08-06 132720000-0400:151.23,18851.24,11514.11
:2005-08-06 132730000-0400:149.18,18851.24,11514.11
:2005-08-06 132740000-0400:145.65,18851.24,10854.03
:2005-08-06 132750000-0400:151.96,18851.24,10854.03
:2005-08-06 132800000-0400:151.96,18851.24,10626.14
:2005-08-06 132810000-0400:152.74,18851.24,10626.14
:2005-08-06 132820000-0400:141.4,18851.24,10278.77
:2005-08-06 132830000-0400:141.4,18851.24,10278.77
:2005-08-06 132840000-0400:141.41,18851.24,9839.23
:2005-08-06 132850000-0400:141.41,18851.24,9839.23
:2005-08-06 132900000-0400:140.28,18851.24,9336.76
:2005-08-06 132910000-0400:140.28,18851.24,9336.76
:2005-08-06 132920000-0400:140.28,18851.24,9336.76
:2005-08-06 132930000-0400:138.55,18851.24,8925.18
:2005-08-06 132940000-0400:138.55,18851.24,8925.18
:2005-08-06 132950000-0400:142.62,18851.24,8440.81
:2005-08-06 133000000-0400:142.62,18851.24,8440.81
:2005-08-06 133010000-0400:144.37,18851.24,7920.1
:2005-08-06 133020000-0400:144.37,18851.24,7920.1
:2005-08-06 133030000-0400:139.5,18851.24,7616.17
:2005-08-06 133040000-0400:139.5,18851.24,7616.17
:2005-08-06 133050000-0400:140.65,18851.24,7616.17
:2005-08-06 133100000-0400:135,18851.24,6992.06
:2005-08-06 133110000-0400:135,18851.24,6992.06
:2005-08-06 133120000-0400:132.82,18851.24,6455.97
:2005-08-06 133130000-0400:133.19,18851.24,6455.97
:2005-08-06 133140000-0400:133.19,18851.24,6039.05
:2005-08-06 133150000-0400:133.19,18851.24,5542.72
:2005-08-06 133200000-0400:135.08,18851.24,5542.72
:2005-08-06 133210000-0400:135.08,18851.24,4974.47
:2005-08-06 133220000-0400:130.93,18851.24,4974.47
:2005-08-06 133230000-0400:129.33,18851.24,4420.19
:2005-08-06 133240000-0400:129.33,18851.24,4420.19
:2005-08-06 133250000-0400:130.48,18850,4420.19
:2005-08-06 133300000-0400:130.48,18850,3875.63
:2005-08-06 133310000-0400:129.5,18850,3331.07
:2005-08-06 133320000-0400:129.5,18850,3331.07
:2005-08-06 133330000-0400:133.7,18850,2828.34
:2005-08-06 133340000-0400:133.7,18850,2828.34
:2005-08-06 133350000-0400:133.7,18850,2417.8
:2005-08-06 133400000-0400:129.75,18850,2417.8
:2005-08-06 133410000-0400:133.91,18850,2063.5
:2005-08-06 133420000-0400:135.87,18850,2063.5
:2005-08-06 133430000-0400:135.87,18850,1658.9
:2005-08-06 133440000-0400:130.07,18850,1658.9
:2005-08-06 133450000-0400:130.07,18850,1380.15
:2005-08-06 133500000-0400:130.61,18850,1380.15
:2005-08-06 133510000-0400:130.61,18850,1380.15
:2005-08-06 133520000-0400:136.48,18850,1031.49
:2005-08-06 133530000-0400:129.53,18850,1031.49
