#v_a,w,h
:2005-08-06 125650000-0400:181.42,16930.39,20966.41
:2005-08-06 125700000-0400:182.57,16928.32,20967.30
:2005-08-06 125710000-0400:182.57,16928.32,20967.30
:2005-08-06 125720000-0400:182.57,16924.38,20968.19
:2005-08-06 125730000-0400:182.88,16924.38,20968.19
:2005-08-06 125740000-0400:182.88,16920.23,20968.19
:2005-08-06 125750000-0400:185.10,16920.23,20969.08
:2005-08-06 125800000-0400:185.10,16918.14,20969.08
:2005-08-06 125810000-0400:186.71,16916.27,20969.97
:2005-08-06 125820000-0400:186.71,16916.27,20969.97
:2005-08-06 125830000-0400:186.71,16912.03,20969.97
:2005-08-06 125840000-0400:188.39,16912.03,20970.86
:2005-08-06 125850000-0400:188.39,16910.79,20970.86
:2005-08-06 125900000-0400:189.16,16909.13,20971.75
:2005-08-06 125910000-0400:189.16,16909.13,20971.75
:2005-08-06 125920000-0400:189.09,16904.88,20979.63
:2005-08-06 125930000-0400:189.09,16904.88,20979.63
:2005-08-06 125940000-0400:189.09,16900.21,20979.63
:2005-08-06 125950000-0400:190.32,16900.21,20973.52
:2005-08-06 130000000-0400:190.32,16898.34,20973.52
:2005-08-06 130010000-0400:189.95,16896.47,20974.41
:2005-08-06 130020000-0400:189.95,16896.47,20974.41
:2005-08-06 130030000-0400:189.96,16892.43,20975.30
:2005-08-06 130040000-0400:189.96,16892.43,20975.30
:2005-08-06 130050000-0400:189.96,16890.56,20975.30
:2005-08-06 130100000-0400:190.27,16888.69,20976.19
:2005-08-06 130110000-0400:190.27,16888.69,20976.19
:2005-08-06 130120000-0400:190.74,16885.37,20991.06
:2005-08-06 130130000-0400:190.74,16885.37,20991.06
:2005-08-06 130140000-0400:189.84,16880.39,20991.95
:2005-08-06 130150000-0400:189.84,16880.39,20991.95
:2005-08-06 130200000-0400:189.84,16878.53,20991.95
:2005-08-06 130210000-0400:185.74,16876.56,21125.67
:2005-08-06 130220000-0400:185.74,16876.56,21125.67
:2005-08-06 130230000-0400:181.56,16872.41,21329.30
:2005-08-06 130240000-0400:181.56,16872.41,21329.30
:2005-08-06 130250000-0400:177.61,16870.54,21525.94
:2005-08-06 130300000-0400:177.61,16868.46,21525.94
:2005-08-06 130310000-0400:177.61,16868.46,21525.94
:2005-08-06 130320000-0400:173.44,16865.04,21715.59
:2005-08-06 130330000-0400:173.44,16865.04,21715.59
:2005-08-06 130340000-0400:170.48,16861.20,21933.20
:2005-08-06 130350000-0400:170.48,16861.20,21933.20
:2005-08-06 130400000-0400:170.18,16859.02,21933.20
:2005-08-06 130410000-0400:170.18,16857.16,22108.87
:2005-08-06 130420000-0400:169.96,16857.16,22108.87
:2005-08-06 130430000-0400:169.96,16853.63,22263.56
:2005-08-06 130440000-0400:169.96,16853.63,22263.56
:2005-08-06 130450000-0400:169.97,16851.66,22376.31
:2005-08-06 130500000-0400:169.97,16849.69,22376.31
:2005-08-06 130510000-0400:170.06,16849.69,22376.31
:2005-08-06 130520000-0400:170.06,16845.95,22468.08
:2005-08-06 130530000-0400:169.99,16845.95,22468.08
:2005-08-06 130540000-0400:169.99,16842.22,22566.84
:2005-08-06 130550000-0400:169.99,16842.22,22566.84
:2005-08-06 130600000-0400:170.00,16840.25,22637.64
:2005-08-06 130610000-0400:170.00,16838.38,22637.64
:2005-08-06 130620000-0400:169.94,16838.38,22637.64
:2005-08-06 130630000-0400:169.94,16834.75,22722.42
:2005-08-06 130640000-0400:170.02,16834.75,22722.42
:2005-08-06 130650000-0400:170.02,16832.47,22821.19
:2005-08-06 130700000-0400:170.02,16830.71,22821.19
:2005-08-06 130710000-0400:170.26,16830.71,22898.98
:2005-08-06 130720000-0400:170.26,16826.97,22898.98
:2005-08-06 130730000-0400:171.03,16826.97,22898.98
:2005-08-06 130740000-0400:171.03,16823.44,22983.76
:2005-08-06 130750000-0400:173.09,16823.44,22983.76
:2005-08-06 130800000-0400:173.09,16821.70,23005.62
:2005-08-06 130810000-0400:173.09,16819.73,23005.62
:2005-08-06 130820000-0400:175.16,16819.73,22992.53
:2005-08-06 130830000-0400:175.16,16816.38,22992.53
:2005-08-06 130840000-0400:177.15,16816.38,22992.53
:2005-08-06 130850000-0400:177.15,16814.63,22965.46
:2005-08-06 130900000-0400:177.92,16812.66,22965.46
:2005-08-06 130910000-0400:177.92,16812.66,22966.35
:2005-08-06 130920000-0400:177.92,16808.71,22966.35
:2005-08-06 130930000-0400:179.22,16808.71,22966.35
:2005-08-06 130940000-0400:179.22,16805.29,22967.23
:2005-08-06 130950000-0400:180.30,16805.29,22967.23
:2005-08-06 131000000-0400:180.30,16803.32,22968.12
:2005-08-06 131010000-0400:181.07,16801.35,22968.12
:2005-08-06 131020000-0400:181.07,16801.35,22969.01
:2005-08-06 131030000-0400:181.07,16797.72,22969.01
:2005-08-06 131040000-0400:181.08,16797.72,22969.01
:2005-08-06 131050000-0400:181.08,16795.85,22969.90
:2005-08-06 131100000-0400:181.08,16793.98,22969.90
