   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
204.88116,19.08552,-6.99253,2.40131,38966.08203
204.81433,19.08694,-6.98854,2.35847,38965.64453
204.71317,19.08778,-6.9862,2.31536,38965.19922
204.59186,19.08822,-6.98496,2.28056,38964.76172
204.46242,19.08846,-6.98431,2.25787,38964.32422
204.33162,19.08861,-6.98388,2.24559,38963.91406
204.20563,19.08876,-6.98345,2.24413,38963.47266
204.08305,19.08895,-6.98291,2.24902,38963.02734
203.96628,19.08919,-6.98224,2.25723,38962.56641
203.85233,19.08947,-6.98146,2.26726,38962.10547
203.73946,19.08978,-6.98061,2.27731,38961.66797
203.62573,19.09008,-6.97975,2.28666,38961.20703
203.51192,19.09038,-6.97893,2.29545,38960.79688
203.39885,19.09065,-6.97816,2.30251,38960.35156
203.28177,19.0909,-6.97747,2.309,38959.94141
203.16617,19.09111,-6.97686,2.31482,38959.53125
203.04677,19.0913,-6.97634,2.3204,38959.0625
202.92807,19.09146,-6.97589,2.32587,38958.65234
202.80821,19.0916,-6.97549,2.3313,38958.19141
202.68488,19.09173,-6.97515,2.33695,38957.75
202.56555,19.09184,-6.97484,2.34263,38957.30859
202.44389,19.09193,-6.97456,2.34893,38956.87109
202.32053,19.09202,-6.97432,2.35537,38956.43359
202.19879,19.0921,-6.97409,2.36173,38955.97266
202.07686,19.09218,-6.97388,2.36785,38955.55859
201.95616,19.09225,-6.97369,2.37455,38955.09766
201.83611,19.09231,-6.97352,2.381,38954.66016
201.71448,19.09236,-6.97337,2.38741,38954.24609
201.59538,19.09241,-6.97323,2.39396,38953.78516
201.47762,19.09245,-6.97311,2.40009,38953.32422
201.36194,19.09249,-6.973,2.40632,38952.89062
201.24521,19.09252,-6.97291,2.41223,38952.47656
201.1283,19.09255,-6.97284,2.41818,38952.03125
201.01225,19.09257,-6.97277,2.42471,38951.59375
200.89697,19.0926,-6.97271,2.43095,38951.16016
200.77823,19.09262,-6.97266,2.43722,38950.69922
200.66466,19.09263,-6.97261,2.43972,38950.28516
200.55344,19.09266,-6.97252,2.43996,38949.84375
200.4465,19.09274,-6.9723,2.44005,38949.43359
200.3486,19.0929,-6.97185,2.43959,38949.01953
200.26154,19.09319,-6.97104,2.43875,38948.55469
200.19302,19.09366,-6.96973,2.43729,38948.11719
275.99286,18.8542,-7.64177,-0.06941,38935.57031
274.79407,18.84052,-7.68022,-0.06638,38934.95312
273.59103,18.826,-7.72107,-0.06853,38934.30078
272.39044,18.81089,-7.76359,-0.06802,38933.67969
271.19629,18.79544,-7.80707,-0.09498,38933.02734
270.01886,18.78001,-7.85052,-0.08649,38932.37891
268.87338,18.7648,-7.89337,-0.08558,38931.73438
267.76761,18.75001,-7.93502,-0.08401,38931.08594
264.16681,18.71239,-8.04101,0.09629,38925.95703
264.3215,18.73421,-7.97951,0.21697,38923.07031
264.09488,18.73379,-7.98072,0.14119,38922.43359
263.86084,18.73287,-7.98329,0.08353,38921.80469
263.63898,18.73195,-7.9859,0.05069,38921.15625
263.44327,18.7313,-7.98774,0.04093,38920.52344
263.27426,18.73103,-7.98848,0.04919,38919.88672
263.12756,18.73113,-7.98819,0.06709,38919.23828
