   true air speed (m/s),   ambient pressure (pascal), ambient temperature ( celsius ),  angle of attack ( radian ),  current total weight ( newton )
115.4593575,60222.74703,262.47022,0.009156874,133717.8893
115.6504425,60223.11953,262.47055,0.008942896,133715.3003
116.023507,60223.86454,262.47116,0.008540598,133710.131
116.3829851,60224.50795,262.47172,0.008153309,133704.953
116.4933436,60224.81272,262.47197,0.008186296,133702.4682
116.4531295,60225.04977,262.47216,0.008021362,133700.47
116.4092114,60225.52387,262.47258,0.008061505,133698.5239
116.3710911,60226.50592,262.4734,0.008233245,133696.5778
116.3372356,60227.82661,262.47452,0.00844827,133694.6491
116.2703887,60230.73891,262.47697,0.00877133,133690.7569
116.2334465,60231.99187,262.47806,0.008851965,133688.8195
116.1950844,60233.07552,262.47895,0.00889106,133686.8821
116.1565011,60233.92211,262.47967,0.008897343,133684.936
116.1157469,60234.59939,262.48025,0.008906594,133682.9986
116.0741283,60235.14121,262.48071,0.008916367,133681.0525
115.9899601,60235.98781,262.48144,0.008965935,133677.1863
115.9075565,60236.73282,262.48204,0.009049362,133673.3028
115.8659894,60237.03759,262.4823,0.009094216,133671.3654
115.7833389,60237.57941,262.48277,0.009184974,133667.4819
115.7425692,60237.81646,262.48297,0.009227734,133665.5445
115.7024168,60238.01965,262.48315,0.009272938,133663.5984
115.6611841,60238.22283,262.48331,0.009317968,133661.661
115.6210832,60238.39215,262.48346,0.009353922,133659.7323
115.580972,60238.56147,262.48358,0.009400347,133657.7862
115.5418331,60238.66306,262.4837,0.00944241,133655.8401
115.5016911,60238.79852,262.48379,0.009485345,133653.9027
115.4618679,60238.90011,262.48387,0.009525313,133651.974
115.4230274,60238.96783,262.48395,0.009566677,133650.0279
115.384192,60239.03556,262.48401,0.009605249,133648.0905
115.3462878,60239.10329,262.48407,0.009652373,133646.1444
115.3097006,60239.17102,262.48412,0.009688501,133644.207
115.2728818,60239.23875,262.48416,0.009728993,133642.2609
115.2352451,60239.27261,262.4842,0.009765296,133640.3235
115.1974952,60239.30647,262.48422,0.009811373,133638.3774
115.1608256,60239.34034,262.48425,0.009841916,133636.4487
115.1248197,60239.3742,262.48427,0.009887993,133634.5026
115.0892304,60239.3742,262.48429,0.009926564,133632.5651
115.0540167,60239.40807,262.48431,0.009963565,133630.6277
115.0189728,60239.40807,262.48432,0.010001788,133628.6903
114.9840832,60239.40807,262.48433,0.010041233,133626.7442
114.9501608,60239.40807,262.48433,0.010080153,133624.8155
114.9153175,60239.40807,262.48433,0.010119598,133622.8694
114.88246,60239.40807,262.48433,0.010153632,133620.932
114.8498957,60239.40807,262.48433,0.010191156,133618.9859
114.8175165,60239.40807,262.48433,0.010226063,133617.0572
114.7845253,60239.40807,262.48432,0.010263064,133615.1111
114.7518632,60239.40807,262.48432,0.010293782,133613.1737
114.7203535,60239.40807,262.48431,0.01033567,133611.2276
114.6891319,60239.40807,262.4843,0.010370227,133609.2989
114.6574782,60239.3742,262.48429,0.010404261,133607.3528
114.6284532,60239.3742,262.48428,0.010434979,133605.4153
114.5965783,60239.3742,262.48428,0.010468315,133603.4866
114.5355909,60239.34034,262.48426,0.010542666,133599.6118
114.5057532,60239.34034,262.48425,0.010574605,133597.6831
114.4768672,60239.34034,262.48425,0.01061021,133595.7457
114.4492981,60239.30647,262.48423,0.010637786,133593.7996
114.4213535,60239.30647,262.48422,0.010663268,133591.8535
114.3931723,60239.27261,262.48421,0.01069608,133589.9248
114.3637924,60239.27261,262.48419,0.010726624,133587.9874
114.3367481,60239.23875,262.48417,0.01075961,133586.05
114.3103262,60239.23875,262.48416,0.010792597,133584.1213
114.2557334,60239.20488,262.48413,0.010852636,133580.2464
114.2298672,60239.17102,262.48412,0.010876198,133578.309
114.1794311,60239.13715,262.48409,0.010934492,133574.4342
114.1534465,60239.13715,262.48408,0.010970621,133572.4968
114.1294991,60239.10329,262.48406,0.010995928,133570.5594
114.1051557,60239.10329,262.48405,0.011020014,133568.622
114.056731,60239.06943,262.48401,0.011076039,133564.7472
114.0327837,60239.03556,262.484,0.011098553,133562.8097
114.0097211,60239.0017,262.48398,0.01112613,133560.8723
113.9853314,60239.0017,262.48397,0.011158069,133558.9349
113.961492,60238.96783,262.48395,0.011176395,133556.9975
113.9388256,60238.96783,262.48394,0.01121008,133555.0601
