#,va,failed_va,aa,vg,ag,vw,aw
:2009-06-01 031119000-0400:329.8039555,329.8039555,329.8039555,36.83264944,323.3974359,30,10,36.83264944
:2009-06-01 031120000-0400:330.3414369,330.3414369,330.3414369,37.27847399,323.3974359,30,10,37.27847399
:2009-06-01 031121000-0400:326.8221858,326.8221858,326.8221858,37.2518576,316.2087912,30,10,37.2518576
:2009-06-01 031122000-0400:313.6715114,313.6715114,313.6715114,37.2518576,311.5384615,30,10,37.2518576
:2009-06-01 031123000-0400:313.6528104,313.6528104,313.6528104,37.22524121,309.6153846,30,10,37.22524121
:2009-06-01 031124000-0400:312.6600008,312.6600008,312.6600008,37.19862482,309.6153846,30,10,37.19862482
:2009-06-01 031125000-0400:305.460482,305.460482,305.460482,37.19862482,302.2435897,30,10,37.19862482
:2009-06-01 031126000-0400:314.7377081,314.7377081,314.7377081,39.77043363,299.6794872,30,10,39.77043363
:2009-06-01 031127000-0400:306.2377215,306.2377215,306.2377215,39.77043363,293.1318681,30,10,39.77043363
:2009-06-01 031128000-0400:305.0779257,305.0779257,305.0779257,42.34224243,293.1318681,30,10,42.34224243
:2009-06-01 031129000-0400:301.4788191,301.4788191,301.4788191,42.78806698,286.2980769,30,10,42.78806698
:2009-06-01 031130000-0400:297.3037047,297.3037047,297.3037047,42.78806698,286.5384615,30,10,42.78806698
