time,v_a,v_g,prs,tmp,lat,lon,alt_r,alt_i,payld,fuel,curr_w,cg,gear
5524.971,48.426556,48.7571,29.611094,0.011242177,42.73853,-73.80426,0.42157188,279.3164,119.68001,111.52427,1870.2043,0.0032480857,177.6252
5525.1714,49.248177,49.57968,29.611101,0.011254652,42.738575,-73.80426,0.4167496,279.3101,119.68001,111.52427,1870.2043,0.0032480857,164.15866
5525.3716,50.056313,50.392647,29.611094,0.011240147,42.73862,-73.80427,0.40286094,279.3174,119.68001,111.50464,1870.1847,0.0032480857,158.23709
5525.572,50.85648,51.194206,29.611073,0.011197325,42.738667,-73.80427,0.39083907,279.33908,119.68001,111.50464,1870.1847,0.0032480857,146.7034
5525.772,51.649048,51.99066,29.611038,0.011130344,42.738716,-73.80427,0.39034444,279.37296,119.68001,111.50464,1870.1847,0.0032480857,118.273636
5525.972,52.436718,52.781082,29.611002,0.011054699,42.73876,-73.80427,0.401794,279.4112,119.68001,111.50464,1870.1847,0.0032480857,83.367516
5526.1724,53.21739,53.56449,29.610968,0.010990441,42.73881,-73.80427,0.42046496,279.4437,119.68001,111.50464,1870.1847,0.0032480857,46.35465
5526.3726,53.993652,54.34298,29.61095,0.010955391,42.73886,-73.80427,0.44064564,279.4614,119.68001,111.485306,1870.1654,0.0032480857,21.044277
0,0,0,0,0,0,0,0,0,0,0,0,0,0
5741.328,1.2190666,1.3170923,29.611221,0.01149411,42.737278,-73.80426,0.25959542,279.18903,374.00003,286.6274,2299.6274,0.0032480857,846.1845
5741.5283,2.225707,2.33826,29.611221,0.011494606,42.737278,-73.80426,0.26106462,279.18878,374.00003,286.6274,2299.6274,0.0032480857,828.0813
5741.7285,3.263531,3.3573854,29.611221,0.011495645,42.73728,-73.80426,0.26250765,279.18823,374.00003,286.60785,2299.608,0.0032480857,823.3299
5741.9287,4.2229896,4.3632245,29.611223,0.011498071,42.737286,-73.80426,0.263216,279.187,374.00003,286.60785,2299.608,0.0032480857,815.6149
5742.129,5.2434287,5.363219,29.611225,0.011501338,42.73729,-73.80426,0.26284358,279.18536,374.00003,286.60785,2299.608,0.0032480857,809.59235
5742.529,7.2121325,7.3501353,29.611227,0.011506685,42.7373,-73.80426,0.26160574,279.18265,374.00003,286.60785,2299.608,0.0032480857,801.7774
5742.729,8.192921,8.331152,29.61123,0.011510349,42.73731,-73.80426,0.26340958,279.18082,374.00003,286.58832,2299.5884,0.0032480857,797.0855
5742.929,9.163344,9.304267,29.611235,0.0115182195,42.737316,-73.80426,0.2680567,279.17682,374.00003,286.58832,2299.5884,0.0032480857,787.0135
5743.1294,10.126384,10.272796,29.611242,0.011532378,42.737328,-73.80426,0.2734519,279.16968,374.00003,286.58832,2299.5884,0.0032480857,772.852
5743.3296,11.083963,11.232588,29.611248,0.011550003,42.737335,-73.80426,0.27532548,279.16077,374.00003,286.58832,2299.5884,0.0032480857,762.5156
5743.53,12.027092,12.186179,29.611256,0.011563765,42.737347,-73.80426,0.2717033,279.1538,374.00003,286.58832,2299.5884,0.0032480857,761.4086
5743.73,12.968482,13.134745,29.61126,0.0115689635,42.73736,-73.80426,0.2681254,279.15118,374.00003,286.56918,2299.5693,0.0032480857,765.4812
5743.93,13.908484,14.0735655,29.61126,0.01157228,42.73737,-73.80426,0.27230242,279.1495,374.00003,286.56918,2299.5693,0.0032480857,759.84796
5744.1304,14.839019,15.0083,29.611267,0.011584062,42.737385,-73.80427,0.27993983,279.14352,374.00003,286.56918,2299.5693,0.0032480857,738.98676
5744.3306,15.769618,15.93697,29.611275,0.011598963,42.7374,-73.80427,0.27794468,279.13602,374.00003,286.56918,2299.5693,0.0032480857,726.6939
5744.531,16.678009,16.854933,29.611275,0.011600449,42.737415,-73.80427,0.27049887,279.13525,374.00003,286.56918,2299.5693,0.0032480857,733.59143
5744.731,17.588774,17.769001,29.611269,0.011593221,42.73743,-73.80427,0.27547306,279.13892,374.00003,286.55,2299.55,0.0032480857,730.46484
5744.943,18.548357,18.727787,29.611275,0.011595696,42.73745,-73.80427,0.28179646,279.13766,374.00003,286.55,2299.55,0.0032480857,708.9169
5745.1543,19.498829,19.68312,29.611269,0.011591191,42.73747,-73.80427,0.2713064,279.13992,374.00003,286.55,2299.55,0.0032480857,714.0697
5745.35,20.362547,20.558338,29.61126,0.01156921,42.737484,-73.80427,0.27360854,279.15106,374.00003,286.55,2299.55,0.0032480857,719.335
5745.5503,21.249449,21.448685,29.611254,0.011554557,42.737503,-73.80427,0.28150386,279.15845,374.00003,286.55,2299.55,0.0032480857,701.0339
5745.7495,22.128792,22.33257,29.611242,0.011535645,42.737526,-73.80427,0.27013975,279.16803,374.00003,286.5305,2299.5305,0.0032480857,705.07605
5745.95,23.006823,23.212309,29.611223,0.011498764,42.737545,-73.804276,0.2763953,279.18668,374.00003,286.5305,2299.5305,0.0032480857,699.09705
5746.1504,23.873314,24.082443,29.611212,0.011474407,42.737568,-73.804276,0.28008106,279.19897,374.00003,286.5305,2299.5305,0.0032480857,675.9536
5746.3506,24.729475,24.943447,29.611193,0.011439258,42.73759,-73.804276,0.2715264,279.21677,374.00003,286.5305,2299.5305,0.0032480857,678.1674
5746.551,25.586035,25.804173,29.611176,0.011402229,42.737614,-73.804276,0.28671575,279.23547,374.00003,286.5305,2299.5305,0.0032480857,650.0272
5746.751,26.438263,26.65488,29.611164,0.011377624,42.737637,-73.804276,0.27789518,279.24792,374.00003,286.51132,2299.5115,0.0032480857,645.1534
5746.951,27.277487,27.502493,29.611147,0.011342426,42.737663,-73.80428,0.29102305,279.26572,374.00003,286.51132,2299.5115,0.0032480857,630.28424
5747.1514,28.118092,28.343952,29.61114,0.011330247,42.73769,-73.80428,0.29066798,279.27188,374.00003,286.51132,2299.5115,0.0032480857,619.3031
