time,vind_kias,prs,tmp,alt_msl,curr_w
2735.92236,43.76353,30.08709,15.02283,867.45813,1997.76941
2736.12476,44.57717,30.08706,15.02278,867.487,1997.76941
2736.3252,45.3849,30.08703,15.02272,867.513,1997.76941
2736.52563,46.18701,30.08702,15.02269,867.52966,1997.75098
2736.72607,46.98381,30.08701,15.02267,867.53625,1997.75098
2736.93677,47.81672,30.08701,15.02268,867.53107,1997.75098
2737.13208,48.5868,30.08702,15.02271,867.51904,1997.75098
2737.33691,49.36879,30.08705,15.02275,867.49182,1997.75098
2737.54712,50.19609,30.08707,15.0228,867.46875,1997.7323
2737.74658,50.93278,30.08711,15.02286,867.43713,1997.7323
2737.94702,51.67928,30.08713,15.0229,867.41821,1997.7323
2738.14722,52.42765,30.08714,15.02294,867.40051,1997.7323
2738.34717,53.1581,30.08715,15.02295,867.39368,1997.7323
2738.54736,53.8762,30.08715,15.02295,867.39746,1997.71362
2738.74707,54.60648,30.08713,15.02292,867.41364,1997.71362
2738.94653,55.31764,30.08711,15.02288,867.43445,1997.71362
2739.14648,56.03615,30.08709,15.02283,867.46027,1997.71362
2739.34692,56.74557,30.08706,15.02278,867.48639,1997.71362
2739.54688,57.44624,30.08704,15.02275,867.5011,1997.69458
2739.74707,58.12717,30.08702,15.02269,867.52814,1997.69458
2739.94702,58.78014,30.08699,15.02263,867.56201,1997.69458
2740.14722,59.42373,30.08696,15.02257,867.5871,1997.69458
2740.34717,60.07135,30.08697,15.0226,867.56738,1997.69458
2740.54712,60.73797,30.08702,15.0227,867.51801,1997.67603
2740.75732,61.43793,30.08707,15.02279,867.47046,1997.67603
2740.95703,62.05396,30.08711,15.02287,867.43512,1997.67603
2741.15723,62.68486,30.08714,15.02292,867.4093,1997.67603
0,0,0,0,0,0
2771.5271,0.51214,30.08731,15.02327,867.23456,2181.20386
2771.73193,0.51214,30.08731,15.02327,867.23511,2181.19409
2771.92261,0.72429,30.08731,15.02327,867.23547,2181.19409
2772.13232,0.88708,30.08731,15.02327,867.23608,2181.19409
2772.33203,1.02431,30.08731,15.02327,867.23669,2181.19409
2772.53198,1.25453,30.08731,15.02326,867.2373,2181.19409
2772.73193,1.53649,30.08731,15.02326,867.23792,2181.18188
2772.93652,1.84664,30.08731,15.02326,867.23859,2181.18188
2773.13184,2.23249,30.08731,15.02326,867.23938,2181.18188
2773.33691,2.61157,30.08731,15.02326,867.24042,2181.18188
2773.53198,3.03005,30.08731,15.02326,867.24158,2181.18188
2773.73706,3.47372,30.08731,15.02325,867.2431,2181.16797
2773.93188,4.0002,30.0873,15.02325,867.245,2181.16797
2774.13672,4.5523,30.0873,15.02324,867.24738,2181.16797
2774.33667,5.12175,30.0873,15.02324,867.25018,2181.16797
2774.53662,5.74915,30.08729,15.02323,867.2536,2181.16797
2774.73267,6.39707,30.08729,15.02322,867.25781,2181.15186
2774.93701,7.05985,30.08729,15.02321,867.2627,2181.15186
2775.13208,7.76753,30.08728,15.0232,867.26825,2181.15186
2775.3252,8.46254,30.08727,15.02319,867.27405,2181.15186
2775.52515,9.21918,30.08727,15.02318,867.28052,2181.15186
2775.7251,9.99729,30.08726,15.02317,867.28735,2181.13477
2775.92505,10.80438,30.08725,15.02315,867.29474,2181.13477
2776.12549,11.61185,30.08724,15.02313,867.30377,2181.13477
2776.3252,12.43019,30.08723,15.02311,867.31549,2181.13477
2776.52588,13.26727,30.08722,15.02308,867.32977,2181.13477
2776.72632,14.11046,30.0872,15.02305,867.34534,2181.11694
2776.92725,14.97626,30.08719,15.02303,867.35901,2181.11694
2777.12646,15.82786,30.08718,15.023,867.37024,2181.11694
2777.32178,16.70672,30.08717,15.02298,867.38245,2181.11694
2777.52686,17.57896,30.08715,15.02295,867.40027,2181.11694
2777.72705,18.44551,30.08713,15.0229,867.42224,2181.09888
2777.92651,19.32071,30.08711,15.02287,867.43951,2181.09888
2778.12671,20.19046,30.0871,15.02285,867.44897,2181.09888
2778.3269,21.07411,30.08709,15.02283,867.45953,2181.09888
2778.5271,21.94608,30.08707,15.02279,867.47845,2181.09888
2778.72656,22.81923,30.08705,15.02276,867.49371,2181.08032
2778.92725,23.69895,30.08705,15.02275,867.49469,2181.08032
2779.1272,24.57387,30.08705,15.02275,867.49573,2181.08032
2779.32715,25.44447,30.08704,15.02274,867.50464,2181.08032
2779.52661,26.3112,30.08704,15.02274,867.50159,2181.08032
2779.72729,27.17923,30.08706,15.02277,867.48627,2181.06152
2779.927,28.04379,30.08707,15.02279,867.47888,2181.06152
